frame,idx,score,alpha,step_norm,z_coarse
frame,idx,score,alpha,step_norm,z_coarse
25,0,5.70273,0.65,step,-3
25,1,7.75906,0.8,step,-2
25,2,10.174,0.95,step,-1
25,3,10.6859,1.1,step,0
25,4,10.4223,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
26,0,5.70061,0.65,step,-3
26,1,7.75467,0.8,step,-2
26,2,10.1693,0.95,step,-1
26,3,10.6802,1.1,step,0
26,4,10.4176,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
27,0,5.70128,0.65,step,-3
27,1,7.75735,0.8,step,-2
27,2,10.1709,0.95,step,-1
27,3,10.6821,1.1,step,0
27,4,10.4203,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
28,0,5.7063,0.65,step,-3
28,1,7.76003,0.8,step,-2
28,2,10.1729,0.95,step,-1
28,3,10.6863,1.1,step,0
28,4,10.4254,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
29,0,5.70484,0.65,step,-3
29,1,7.75703,0.8,step,-2
29,2,10.1727,0.95,step,-1
29,3,10.6858,1.1,step,0
29,4,10.424,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
30,0,5.70056,0.65,step,-3
30,1,7.75238,0.8,step,-2
30,2,10.162,0.95,step,-1
30,3,10.678,1.1,step,0
30,4,10.4201,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
31,0,5.70397,0.65,step,-3
31,1,7.75869,0.8,step,-2
31,2,10.1744,0.95,step,-1
31,3,10.6847,1.1,step,0
31,4,10.4215,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
32,0,5.70391,0.65,step,-3
32,1,7.75547,0.8,step,-2
32,2,10.167,0.95,step,-1
32,3,10.6816,1.1,step,0
32,4,10.4236,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
33,0,5.69905,0.65,step,-3
33,1,7.74862,0.8,step,-2
33,2,10.1567,0.95,step,-1
33,3,10.6706,1.1,step,0
33,4,10.4112,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
34,0,5.7038,0.65,step,-3
34,1,7.75504,0.8,step,-2
34,2,10.1689,0.95,step,-1
34,3,10.6848,1.1,step,0
34,4,10.4254,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
35,0,5.70134,0.65,step,-3
35,1,7.75704,0.8,step,-2
35,2,10.172,0.95,step,-1
35,3,10.6846,1.1,step,0
35,4,10.4222,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
36,0,5.69855,0.65,step,-3
36,1,7.75239,0.8,step,-2
36,2,10.1674,0.95,step,-1
36,3,10.6809,1.1,step,0
36,4,10.419,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
37,0,5.70329,0.65,step,-3
37,1,7.75601,0.8,step,-2
37,2,10.1683,0.95,step,-1
37,3,10.6823,1.1,step,0
37,4,10.4223,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
38,0,5.69771,0.65,step,-3
38,1,7.74772,0.8,step,-2
38,2,10.1619,0.95,step,-1
38,3,10.6809,1.1,step,0
38,4,10.425,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
39,0,5.70454,0.65,step,-3
39,1,7.75875,0.8,step,-2
39,2,10.174,0.95,step,-1
39,3,10.683,1.1,step,0
39,4,10.418,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
40,0,5.70488,0.65,step,-3
40,1,7.76092,0.8,step,-2
40,2,10.1768,0.95,step,-1
40,3,10.6891,1.1,step,0
40,4,10.4262,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
41,0,5.69881,0.65,step,-3
41,1,7.75122,0.8,step,-2
41,2,10.1608,0.95,step,-1
41,3,10.6777,1.1,step,0
41,4,10.422,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
42,0,5.70361,0.65,step,-3
42,1,7.75981,0.8,step,-2
42,2,10.1758,0.95,step,-1
42,3,10.6863,1.1,step,0
42,4,10.4236,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
43,0,5.70626,0.65,step,-3
43,1,7.76117,0.8,step,-2
43,2,10.1804,0.95,step,-1
43,3,10.6939,1.1,step,0
43,4,10.4305,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
44,0,5.70026,0.65,step,-3
44,1,7.7521,0.8,step,-2
44,2,10.1701,0.95,step,-1
44,3,10.6876,1.1,step,0
44,4,10.4285,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
45,0,5.704,0.65,step,-3
45,1,7.7544,0.8,step,-2
45,2,10.1679,0.95,step,-1
45,3,10.6836,1.1,step,0
45,4,10.4251,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
46,0,5.70414,0.65,step,-3
46,1,7.75805,0.8,step,-2
46,2,10.1732,0.95,step,-1
46,3,10.6841,1.1,step,0
46,4,10.4208,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
47,0,5.70386,0.65,step,-3
47,1,7.75699,0.8,step,-2
47,2,10.1721,0.95,step,-1
47,3,10.6846,1.1,step,0
47,4,10.4225,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
48,0,5.70168,0.65,step,-3
48,1,7.75227,0.8,step,-2
48,2,10.1645,0.95,step,-1
48,3,10.6783,1.1,step,0
48,4,10.4202,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
49,0,5.69982,0.65,step,-3
49,1,7.75046,0.8,step,-2
49,2,10.1594,0.95,step,-1
49,3,10.6745,1.1,step,0
49,4,10.4158,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
50,0,5.69795,0.65,step,-3
50,1,7.74753,0.8,step,-2
50,2,10.1603,0.95,step,-1
50,3,10.6791,1.1,step,0
50,4,10.4224,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
51,0,5.70325,0.65,step,-3
51,1,7.75522,0.8,step,-2
51,2,10.1676,0.95,step,-1
51,3,10.6843,1.1,step,0
51,4,10.4265,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
52,0,5.69975,0.65,step,-3
52,1,7.75185,0.8,step,-2
52,2,10.1682,0.95,step,-1
52,3,10.6817,1.1,step,0
52,4,10.4205,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
53,0,5.7048,0.65,step,-3
53,1,7.7556,0.8,step,-2
53,2,10.166,0.95,step,-1
53,3,10.6814,1.1,step,0
53,4,10.4227,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
54,0,5.70116,0.65,step,-3
54,1,7.75387,0.8,step,-2
54,2,10.1666,0.95,step,-1
54,3,10.6853,1.1,step,0
54,4,10.4288,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
55,0,5.70467,0.65,step,-3
55,1,7.75596,0.8,step,-2
55,2,10.1707,0.95,step,-1
55,3,10.6842,1.1,step,0
55,4,10.4228,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
56,0,5.70463,0.65,step,-3
56,1,7.75599,0.8,step,-2
56,2,10.1699,0.95,step,-1
56,3,10.6823,1.1,step,0
56,4,10.4206,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
57,0,5.70156,0.65,step,-3
57,1,7.75404,0.8,step,-2
57,2,10.1713,0.95,step,-1
57,3,10.6875,1.1,step,0
57,4,10.4289,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
58,0,5.70052,0.65,step,-3
58,1,7.75239,0.8,step,-2
58,2,10.1656,0.95,step,-1
58,3,10.6808,1.1,step,0
58,4,10.4228,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
59,0,5.70206,0.65,step,-3
59,1,7.75398,0.8,step,-2
59,2,10.1718,0.95,step,-1
59,3,10.6883,1.1,step,0
59,4,10.4293,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
60,0,5.70372,0.65,step,-3
60,1,7.75499,0.8,step,-2
60,2,10.1694,0.95,step,-1
60,3,10.6808,1.1,step,0
60,4,10.418,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
61,0,5.70499,0.65,step,-3
61,1,7.75725,0.8,step,-2
61,2,10.1738,0.95,step,-1
61,3,10.6853,1.1,step,0
61,4,10.4226,1.25,step,1

frame,idx,score,alpha,step_norm,z_coarse
62,0,5.70068,0.65,step,-3
62,1,7.75054,0.8,step,-2
